collection_id,material_id,created_at
76754486-f30d-4c9d-a9c6-cd94d5e02d4e,a10306c8-16e1-4ff7-9d68-5d479da1add8,2021-09-27 08:28:03.033061
14a36f8e-38b4-4bf5-ac63-f909ef0b9fe3,64bb906f-c461-47cd-a034-7c30d905a400,2021-09-27 08:28:03.033061
14a36f8e-38b4-4bf5-ac63-f909ef0b9fe3,d5e7f632-ce77-4486-81c7-b4d42cb4b962,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,9165d710-ee0e-469a-a084-3e0ee9cc94ff,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,ada34d68-24a1-425a-a837-dd554a537d8d,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,7a61fcd4-914c-4399-bacd-0bbc858a2f6d,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,0007381d-c74d-48ef-924a-be5fcc91691b,2021-09-27 08:28:03.033061
0b1181fe-a29b-4930-903a-9cbdf2c77edb,22893b86-f176-4ece-a254-e9fb4527a2a7,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,22893b86-f176-4ece-a254-e9fb4527a2a7,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,977c75c8-b0a1-40aa-a1bf-5aba1d105d39,2021-09-27 08:28:03.033061
0b1181fe-a29b-4930-903a-9cbdf2c77edb,9cc005f6-5e22-4d7f-adfc-63385a1b9738,2021-09-27 08:28:03.033061
df13c01a-dd5e-4fb5-b570-845fed00fbd0,9cc005f6-5e22-4d7f-adfc-63385a1b9738,2021-09-27 08:28:03.033061
1703edd6-950e-4762-bbc2-9df8db21abbd,2543406b-acfe-472d-b048-296f37a46754,2021-09-27 08:28:03.033061
1703edd6-950e-4762-bbc2-9df8db21abbd,2516c2a0-450a-4d3b-b89b-d419480b209b,2021-09-27 08:28:03.033061
